仓库,仓库类型,货主,货品ID,货品编号,货品名称,装帧形式,货品件数,空盒子库存,空盒子货品编码,空盒子货品名称,可维修数量,平均库龄,周转天数,同步时间
武清仓,维修库位,智能内容,663169,9787830125165,摩比爱识字（2024）,盒装,235,519,HZ9787830125165,（盒子）摩比爱识字（2024）,235,634.47,10.09,2026-08-08 10:34:51
武清仓,维修库位,智能内容,664627,9787545922950,初中物理思维提升  1级(2024),盒装,193,300,HZ9787545922950,(盒子)初中物理思维提升  1级(2024),193,586.71,22.27,2026-08-08 10:34:51
武清仓,维修库位,智能内容,584125,9787556521654,Reading A-Z美国小学同步阅读. 2级(2023)下,盒装,192,994,HZ9787556521654,（盒子）Reading A-Z美国小学同步阅读. 2级(2023)下,192,635.32,17.98,2026-08-08 10:34:51
武清仓,维修库位,智能内容,572370,9787121456527,零基础英语,盒装,191,1508,HZ9787121456527,（盒子）零基础英语,191,635.21,9.28,2026-08-08 10:34:51
武清仓,维修库位,智能内容,500781,9787510686238,学而思秘籍小学数学思维培养11级（智能教辅）,盒装,188,400,HZ9787510686238,(盒子)学而思秘籍小学数学思维培养11级（智能教辅）,188,637.0,43.5,2026-08-08 10:34:51
武清仓,维修库位,智能内容,584124,9787556521647,Reading A-Z美国小学同步阅读. 1级(2023)下,盒装,176,826,HZ9787556521647,（盒子）Reading A-Z美国小学同步阅读. 1级(2023)下,176,637.0,8.43,2026-08-08 10:34:51
武清仓,维修库位,智能内容,584127,9787556521678,Reading A-Z美国小学同步阅读. 4级(2023)下,盒装,126,457,HZ9787556521678,（盒子）Reading A-Z美国小学同步阅读. 4级(2023)下,126,637.0,10.92,2026-08-08 10:34:51
武清仓,维修库位,智能内容,584128,9787556521685,Reading A-Z美国小学同步阅读. 5级(2023)下,盒装,125,428,HZ9787556521685,（盒子）Reading A-Z美国小学同步阅读. 5级(2023)下,125,637.0,14.22,2026-08-08 10:34:51
武清仓,维修库位,智能内容,500780,9787510686245,学而思秘籍小学数学思维培养12级（智能教辅）,盒装,111,213,HZ9787510686245,(盒子)学而思秘籍小学数学思维培养12级（智能教辅）,111,637.0,33.98,2026-08-08 10:34:51
武清仓,维修库位,智能内容,589528,9787556521708,Reading A-Z美国小学同步阅读. 7级(2023)下,盒装,105,765,HZ9787556521708,（盒子）Reading A-Z美国小学同步阅读. 7级(2023)下,105,637.0,16.1,2026-08-08 10:34:51
武清仓,维修库位,智能内容,584126,9787556521661,Reading A-Z美国小学同步阅读. 3级(2023)下,盒装,104,466,HZ9787556521661,（盒子）Reading A-Z美国小学同步阅读. 3级(2023)下,104,637.0,10.53,2026-08-08 10:34:51
武清仓,维修库位,智能内容,664642,9787550522022,学而思秘籍初中数学思维提升3级(智能教辅2024),盒装,104,200,HZ9787550522022,(盒子)学而思秘籍初中数学思维提升3级(2024),104,572.38,44.36,2026-08-08 10:34:51
武清仓,维修库位,智能内容,664641,9787550522015,学而思秘籍初中数学思维提升2级(智能教辅2024),盒装,92,205,HZ9787550522015,(盒子)学而思秘籍初中数学思维提升2级(2024),92,633.6,76.67,2026-08-08 10:34:51
武清仓,维修库位,智能内容,584132,9787556521739,Reading A-Z美国小学同步阅读. 10级(2023)下,盒装,86,300,HZ9787556521739,（盒子）Reading A-Z美国小学同步阅读. 10级(2023)下,86,635.53,11.85,2026-08-08 10:34:51
武清仓,维修库位,智能内容,649833,9787501267590,迪士尼英语1级,盒装,83,298,HZ9787501267590,（盒子）迪士尼英语1级,83,637.0,21.97,2026-08-08 10:34:51
武清仓,维修库位,智能内容,584129,9787556521692,Reading A-Z美国小学同步阅读. 6级(2023)下,盒装,79,489,HZ9787556521692,（盒子）Reading A-Z美国小学同步阅读. 6级(2023)下,79,637.0,8.85,2026-08-08 10:34:51
武清仓,维修库位,智能内容,658995,9787550521841,小学数学思维培养4级（智能教辅2024新）,盒装,78,276,HZ9787550521841,(盒子)小学数学思维培养4级（智能教辅2024新）,78,635.0,14.47,2026-08-08 10:34:51
武清仓,维修库位,智能内容,584130,9787556521715,Reading A-Z美国小学同步阅读. 8级(2023)下,盒装,75,449,HZ9787556521715,（盒子）Reading A-Z美国小学同步阅读. 8级(2023)下,75,637.0,10.53,2026-08-08 10:34:51
武清仓,维修库位,智能内容,595376,9787572271366,摩比爱数学 探索篇 智能版,盒装,75,219,HZ9787572271366,（盒子）摩比爱数学 探索篇 智能版,75,636.0,28.48,2026-08-08 10:34:51
武清仓,维修库位,智能内容,584131,9787556521722,Reading A-Z美国小学同步阅读. 9级(2023)下,盒装,70,505,HZ9787556521722,（盒子）Reading A-Z美国小学同步阅读. 9级(2023)下,70,636.31,9.39,2026-08-08 10:34:51
武清仓,维修库位,智能内容,533731,9787513822879,Hello English Readers分级阅读1级（上）,盒装,68,258,HZ9787513822879,(盒子)Hello English Readers分级阅读1级（上）,68,637.0,185.45,2026-08-08 10:34:51
武清仓,维修库位,智能内容,658997,9787550521858,小学数学思维培养3级（智能教辅2024新）,盒装,64,202,HZ9787550521858,(盒子)小学数学思维培养3级（智能教辅2024新）,64,635.02,16.94,2026-08-08 10:34:51
武清仓,维修库位,智能内容,500787,9787510686177,学而思秘籍小学数学思维培养5级（智能教辅）,盒装,61,350,HZ9787510686177,(盒子)学而思秘籍小学数学思维培养5级（智能教辅2024）,61,637.0,189.31,2026-08-08 10:34:51
武清仓,维修库位,智能内容,658996,9787550521810,小学数学思维培养7级（智能教辅2024新）,盒装,60,658,HZ9787550521810,(盒子)小学数学思维培养7级（智能教辅2024新）,60,563.05,12.27,2026-08-08 10:34:51
武清仓,维修库位,智能内容,658994,9787550521803,小学数学思维培养6级（智能教辅2024新）,盒装,58,787,HZ9787550521803,(盒子)小学数学思维培养6级（智能教辅2024新）,58,635.0,23.51,2026-08-08 10:34:51
武清仓,维修库位,智能内容,537645,9787572237287,小学英语周周学 2级 上册,盒装,46,790,HZ9787572237287,(盒子)小学英语周周学 2级 上册,46,635.04,27.24,2026-08-08 10:34:51
武清仓,维修库位,智能内容,537649,9787572237324,小学英语周周学 6级 上册,盒装,45,1450,HZ9787572237324,(盒子)小学英语周周学 6级 上册,45,635.04,34.62,2026-08-08 10:34:51
武清仓,维修库位,智能内容,537661,9787572247316,剑桥英语周周学3级下册,盒装,42,1466,HZ9787572247316,(盒子)剑桥英语周周学3级下册,42,635.05,22.63,2026-08-08 10:34:51
武清仓,维修库位,智能内容,500756,9787510686634,小学数学周周学一年级上册,盒装,50,40,HZ9787510686634,(盒子)小学数学周周学一年级上册,40,637.0,9.49,2026-08-08 10:34:51
武清仓,维修库位,智能内容,500776,9787510687327,学而思秘籍小学语文阅读与写作 3级（智能教辅）,盒装,39,672,HZ9787510687327,(盒子)学而思秘籍小学语文阅读与写作 3级（智能教辅）,39,637.0,29.25,2026-08-08 10:34:51
武清仓,维修库位,智能内容,649834,9787501267583,迪士尼英语2级,盒装,39,684,HZ9787501267583,（盒子）迪士尼英语2级,39,637.0,28.08,2026-08-08 10:34:51
武清仓,维修库位,智能内容,573116,9787551828932,看图写话方法课,盒装,36,292,HZ9787551828932,（盒子）看图写话方法课,36,635.0,11.06,2026-08-08 10:34:51
武清仓,维修库位,智能内容,658998,9787550521827,小学数学思维培养9级（智能教辅2024新）,盒装,36,670,HZ9787550521827,(盒子)小学数学思维培养9级（智能教辅2024新）,36,635.0,14.93,2026-08-08 10:34:51
武清仓,维修库位,智能内容,537647,9787572237300,小学英语周周学 4级 上册,盒装,35,1609,HZ9787572237300,(盒子)小学英语周周学 4级 上册,35,637.0,71.59,2026-08-08 10:34:51
武清仓,维修库位,智能内容,537658,9787572247286,剑桥英语周周学4级下册,盒装,33,1058,HZ9787572247286,(盒子)剑桥英语周周学4级下册,33,635.0,70.71,2026-08-08 10:34:51
武清仓,维修库位,智能内容,537660,9787572247309,剑桥英语周周学2级下册,盒装,33,1312,HZ9787572247309,(盒子)剑桥英语周周学2级下册,33,635.03,22.85,2026-08-08 10:34:51
武清仓,维修库位,智能内容,500883,2020042118303,学而思大语文分级阅读·第三学段第二季 5-6年级（全八册）,盒装,32,50,HZ2020042118303,(盒子)学而思大语文分级阅读·第三学段第二季 5-6年级（全八册）,32,576.47,14.26,2026-08-08 10:34:51
武清仓,维修库位,智能内容,581065,6973473321405,阅读理解方法课,盒装,44,31,HZ6973473321405,(盒子)阅读理解方法课,31,635.0,11.79,2026-08-08 10:34:51
武清仓,维修库位,智能内容,537646,9787572237294,小学英语周周学 3级 上册,盒装,23,1434,HZ9787572237294,(盒子)小学英语周周学 3级 上册,23,635.0,26.54,2026-08-08 10:34:51
武清仓,维修库位,智能内容,537644,9787572237270,小学英语周周学 1级 上册,盒装,22,1087,HZ9787572237270,(盒子)小学英语周周学 1级 上册,22,635.09,7.15,2026-08-08 10:34:51
武清仓,维修库位,智能内容,572881,9787551828949,小学作文方法课,盒装,22,338,HZ9787551828949,(盒子)小学作文方法课,22,635.36,10.48,2026-08-08 10:34:51
武清仓,维修库位,智能内容,595377,9787572271403,摩比爱数学 飞跃篇 智能版,盒装,22,200,HZ9787572271403,（盒子）摩比爱数学 飞跃篇 智能版,22,636.82,4.25,2026-08-08 10:34:51
武清仓,维修库位,智能内容,500779,9787510687303,学而思秘籍小学语文阅读与写作 1级（智能教辅）,盒装,18,51,HZ9787510687303,(盒子)学而思秘籍小学语文阅读与写作 1级（智能教辅）,18,637.0,4.08,2026-08-08 10:34:51
武清仓,维修库位,智能内容,572876,ZNNR20230607102,哈佛外教英语启蒙 第二级,盒装,18,1306,HZZNNR20230607102,（盒子）哈佛外教英语启蒙 第二级,18,637.0,24.18,2026-08-08 10:34:51
